OriginNode	DestNode	StartTime(sec)	EndTime(sec)	Demand(veh/hr)
1	43	2700	3600	116
1	43	3600	4500	124
1	43	4500	5400	104
1	43	5400	6300	100
1	43	6300	7200	112
1	43	7200	8100	92
1	43	8100	9000	88
1	43	9000	9900	108
1	43	9900	10800	60
1	45	0	900	372
1	45	900	1800	560
1	45	1800	2700	592
1	45	2700	3600	652
1	45	3600	4500	500
1	45	4500	5400	508
1	45	5400	6300	520
1	45	6300	7200	448
1	45	7200	8100	436
1	45	8100	9000	308
1	45	9000	9900	256
1	45	9900	10800	108
1	47	0	900	80
1	47	900	1800	164
1	47	1800	2700	208
1	47	2700	3600	284
1	47	3600	4500	284
1	47	4500	5400	316
1	47	5400	6300	364
1	47	6300	7200	356
1	47	7200	8100	280
1	47	8100	9000	176
1	47	9000	9900	256
1	47	9900	10800	132
1	55	0	900	92
1	55	900	1800	228
1	55	1800	2700	228
1	55	2700	3600	248
1	55	3600	4500	300
1	55	4500	5400	204
1	55	5400	6300	236
1	55	6300	7200	232
1	55	7200	8100	208
1	55	8100	9000	132
1	55	9000	9900	212
1	55	9900	10800	108
1	62	0	900	428
1	62	900	1800	728
1	62	1800	2700	752
1	62	2700	3600	704
1	62	3600	4500	704
1	62	4500	5400	708
1	62	5400	6300	640
1	62	6300	7200	592
1	62	7200	8100	560
1	62	8100	9000	348
1	62	9000	9900	264
1	62	9900	10800	168
6	5	0	10800	0
6	13	0	900	28
6	13	900	1800	32
6	13	1800	2700	72
6	13	2700	3600	80
6	13	3600	4500	84
6	13	4500	5400	100
6	13	5400	6300	56
6	13	6300	7200	76
6	13	7200	8100	96
6	13	8100	9000	48
6	13	9000	9900	24
6	13	9900	10800	44
6	17	0	900	44
6	17	900	1800	60
6	17	1800	2700	60
6	17	2700	3600	68
6	17	3600	4500	80
6	17	4500	5400	68
6	17	5400	6300	36
6	17	6300	7200	36
6	17	7200	8100	44
6	17	8100	9000	28
6	17	9000	9900	20
6	17	9900	10800	24
6	21	0	900	104
6	21	900	1800	104
6	21	1800	2700	108
6	21	2700	3600	124
6	21	3600	4500	184
6	21	4500	5400	216
6	21	5400	6300	232
6	21	6300	7200	252
6	21	7200	8100	260
6	21	8100	9000	92
6	21	9000	9900	48
6	21	9900	10800	24
6	25	0	900	64
6	25	900	1800	96
6	25	1800	2700	44
6	25	2700	3600	28
6	25	3600	4500	60
6	25	4500	5400	116
6	25	5400	6300	84
6	25	6300	7200	116
6	25	7200	8100	80
6	25	8100	9000	40
6	25	9000	9900	8
6	25	9900	10800	8
6	29	0	900	148
6	29	900	1800	232
6	29	1800	2700	392
6	29	2700	3600	224
6	29	3600	4500	264
6	29	4500	5400	240
6	29	5400	6300	260
6	29	6300	7200	304
6	29	7200	8100	196
6	29	8100	9000	60
6	29	9000	9900	40
6	29	9900	10800	20
6	37	0	900	92
6	37	900	1800	112
6	37	1800	2700	152
6	37	2700	3600	124
6	37	3600	4500	148
6	37	4500	5400	128
6	37	5400	6300	120
6	37	6300	7200	180
6	37	7200	8100	128
6	37	8100	9000	40
6	37	9000	9900	24
6	37	9900	10800	16
6	41	0	900	60
6	41	900	1800	44
6	41	1800	2700	56
6	41	2700	3600	92
6	41	3600	4500	76
6	41	4500	5400	60
6	41	5400	6300	64
6	41	6300	7200	60
6	41	7200	8100	64
6	41	8100	9000	16
6	41	9000	9900	16
6	41	9900	10800	16
6	43	0	900	36
6	43	900	1800	56
6	43	1800	2700	48
6	43	2700	3600	100
6	43	3600	4500	120
6	43	4500	5400	80
6	43	5400	6300	80
6	43	6300	7200	56
6	43	7200	8100	56
6	43	8100	9000	32
6	43	9000	9900	12
6	43	9900	10800	4
6	45	0	900	276
6	45	900	1800	332
6	45	1800	2700	344
6	45	2700	3600	344
6	45	3600	4500	348
6	45	4500	5400	372
6	45	5400	6300	264
6	45	6300	7200	212
6	45	7200	8100	120
6	45	8100	9000	72
6	45	9000	9900	28
6	45	9900	10800	8
6	47	0	900	32
6	47	900	1800	60
6	47	1800	2700	84
6	47	2700	3600	148
6	47	3600	4500	164
6	47	4500	5400	200
6	47	5400	6300	216
6	47	6300	7200	172
6	47	7200	8100	148
6	47	8100	9000	72
6	47	9000	9900	16
6	47	9900	10800	16
6	55	0	900	56
6	55	900	1800	176
6	55	1800	2700	80
6	55	2700	3600	96
6	55	3600	4500	148
6	55	4500	5400	108
6	55	5400	6300	88
6	55	6300	7200	132
6	55	7200	8100	120
6	55	8100	9000	40
6	55	9000	9900	40
6	55	9900	10800	20
6	62	0	900	92
6	62	900	1800	168
6	62	1800	2700	220
6	62	2700	3600	196
6	62	3600	4500	200
6	62	4500	5400	220
6	62	5400	6300	228
6	62	6300	7200	256
6	62	7200	8100	160
6	62	8100	9000	52
6	62	9000	9900	4
6	62	9900	10800	4
10	5	0	10800	0
10	13	0	900	20
10	13	900	1800	16
10	13	1800	2700	20
10	13	2700	3600	20
10	13	3600	4500	36
10	13	4500	5400	52
10	13	5400	6300	36
10	13	6300	7200	68
10	13	7200	8100	60
10	13	8100	9000	84
10	13	9000	9900	96
10	13	9900	10800	144
10	17	0	900	48
10	17	900	1800	32
10	17	1800	2700	36
10	17	2700	3600	36
10	17	3600	4500	32
10	17	4500	5400	24
10	17	5400	6300	32
10	17	6300	7200	44
10	17	7200	8100	28
10	17	8100	9000	72
10	17	9000	9900	32
10	17	9900	10800	60
10	21	0	900	44
10	21	900	1800	60
10	21	1800	2700	52
10	21	2700	3600	64
10	21	3600	4500	84
10	21	4500	5400	76
10	21	5400	6300	84
10	21	6300	7200	100
10	21	7200	8100	72
10	21	8100	9000	80
10	21	9000	9900	60
10	21	9900	10800	48
10	25	0	900	32
10	25	900	1800	28
10	25	1800	2700	20
10	25	2700	3600	8
10	25	3600	4500	24
10	25	4500	5400	52
10	25	5400	6300	48
10	25	6300	7200	44
10	25	7200	8100	32
10	25	8100	9000	12
10	25	9000	9900	32
10	25	9900	10800	40
10	29	0	900	140
10	29	900	1800	240
10	29	1800	2700	176
10	29	2700	3600	160
10	29	3600	4500	144
10	29	4500	5400	104
10	29	5400	6300	64
10	29	6300	7200	80
10	29	7200	8100	40
10	29	8100	9000	56
10	29	9000	9900	56
10	29	9900	10800	36
10	37	0	900	44
10	37	900	1800	72
10	37	1800	2700	76
10	37	2700	3600	68
10	37	3600	4500	100
10	37	4500	5400	68
10	37	5400	6300	56
10	37	6300	7200	24
10	37	7200	8100	64
10	37	8100	9000	36
10	37	9000	9900	32
10	37	9900	10800	40
10	41	0	900	28
10	41	900	1800	32
10	41	1800	2700	32
10	41	2700	3600	24
10	41	3600	4500	40
10	41	4500	5400	28
10	41	5400	6300	20
10	41	6300	7200	12
10	41	7200	8100	16
10	41	8100	9000	12
10	41	9000	9900	32
10	41	9900	10800	24
10	43	0	900	20
10	43	900	1800	44
10	43	1800	2700	20
10	43	2700	3600	36
10	43	3600	4500	24
10	43	4500	5400	40
10	43	5400	6300	44
10	43	6300	7200	8
10	43	7200	8100	16
10	43	8100	9000	4
10	43	9000	9900	32
10	43	9900	10800	20
10	45	0	900	248
10	45	900	1800	272
10	45	1800	2700	196
10	45	2700	3600	136
10	45	3600	4500	132
10	45	4500	5400	172
10	45	5400	6300	108
10	45	6300	7200	112
10	45	7200	8100	84
10	45	8100	9000	64
10	45	9000	9900	56
10	45	9900	10800	44
10	47	0	900	52
10	47	900	1800	64
10	47	1800	2700	48
10	47	2700	3600	88
10	47	3600	4500	40
10	47	4500	5400	56
10	47	5400	6300	128
10	47	6300	7200	84
10	47	7200	8100	52
10	47	8100	9000	24
10	47	9000	9900	76
10	47	9900	10800	40
10	55	0	900	8
10	55	900	1800	80
10	55	1800	2700	56
10	55	2700	3600	60
10	55	3600	4500	92
10	55	4500	5400	40
10	55	5400	6300	52
10	55	6300	7200	40
10	55	7200	8100	48
10	55	8100	9000	40
10	55	9000	9900	72
10	55	9900	10800	24
10	62	0	900	76
10	62	900	1800	120
10	62	1800	2700	112
10	62	2700	3600	64
10	62	3600	4500	96
10	62	4500	5400	96
10	62	5400	6300	136
10	62	6300	7200	68
10	62	7200	8100	56
10	62	8100	9000	92
10	62	9000	9900	52
10	62	9900	10800	44
14	5	0	10800	0
14	13	0	10800	0
14	17	0	900	8
14	17	900	1800	32
14	17	1800	2700	40
14	17	2700	3600	48
14	17	3600	4500	56
14	17	4500	5400	72
14	17	5400	6300	76
14	17	6300	7200	80
14	17	7200	8100	148
14	17	8100	9000	172
14	17	9000	9900	92
14	17	9900	10800	152
14	21	0	900	20
14	21	900	1800	40
14	21	1800	2700	16
14	21	2700	3600	28
14	21	3600	4500	24
14	21	4500	5400	24
14	21	5400	6300	24
14	21	6300	7200	48
14	21	7200	8100	36
14	21	8100	9000	48
14	21	9000	9900	48
14	21	9900	10800	48
14	25	0	900	16
14	25	900	1800	28
14	25	1800	2700	16
14	25	2700	3600	4
14	25	3600	4500	16
14	25	4500	5400	28
14	25	5400	6300	96
14	25	6300	7200	56
14	25	7200	8100	40
14	25	8100	9000	36
14	25	9000	9900	36
14	25	9900	10800	36
14	29	0	900	104
14	29	900	1800	136
14	29	1800	2700	156
14	29	2700	3600	104
14	29	3600	4500	104
14	29	4500	5400	140
14	29	5400	6300	96
14	29	6300	7200	120
14	29	7200	8100	76
14	29	8100	9000	120
14	29	9000	9900	132
14	29	9900	10800	112
14	37	0	900	64
14	37	900	1800	80
14	37	1800	2700	116
14	37	2700	3600	56
14	37	3600	4500	84
14	37	4500	5400	64
14	37	5400	6300	88
14	37	6300	7200	76
14	37	7200	8100	60
14	37	8100	9000	52
14	37	9000	9900	80
14	37	9900	10800	76
14	41	0	900	20
14	41	900	1800	40
14	41	1800	2700	8
14	41	2700	3600	36
14	41	3600	4500	32
14	41	4500	5400	4
14	41	5400	6300	28
14	41	6300	7200	20
14	41	7200	8100	56
14	41	8100	9000	44
14	41	9000	9900	52
14	41	9900	10800	44
14	43	0	900	40
14	43	900	1800	40
14	43	1800	2700	36
14	43	2700	3600	52
14	43	3600	4500	44
14	43	4500	5400	36
14	43	5400	6300	28
14	43	6300	7200	40
14	43	7200	8100	24
14	43	8100	9000	52
14	43	9000	9900	48
14	43	9900	10800	56
14	45	0	900	152
14	45	900	1800	176
14	45	1800	2700	148
14	45	2700	3600	172
14	45	3600	4500	108
14	45	4500	5400	136
14	45	5400	6300	128
14	45	6300	7200	124
14	45	7200	8100	148
14	45	8100	9000	184
14	45	9000	9900	132
14	45	9900	10800	128
14	47	0	900	20
14	47	900	1800	68
14	47	1800	2700	32
14	47	2700	3600	48
14	47	3600	4500	52
14	47	4500	5400	96
14	47	5400	6300	64
14	47	6300	7200	84
14	47	7200	8100	64
14	47	8100	9000	60
14	47	9000	9900	80
14	47	9900	10800	88
14	55	0	900	24
14	55	900	1800	56
14	55	1800	2700	36
14	55	2700	3600	48
14	55	3600	4500	32
14	55	4500	5400	52
14	55	5400	6300	72
14	55	6300	7200	60
14	55	7200	8100	36
14	55	8100	9000	64
14	55	9000	9900	76
14	55	9900	10800	112
14	62	0	900	48
14	62	900	1800	56
14	62	1800	2700	60
14	62	2700	3600	52
14	62	3600	4500	68
14	62	4500	5400	88
14	62	5400	6300	48
14	62	6300	7200	64
14	62	7200	8100	72
14	62	8100	9000	76
14	62	9000	9900	96
14	62	9900	10800	108
18	5	0	10800	0
18	13	0	10800	0
18	17	0	10800	0
18	21	0	900	0
18	21	900	1800	12
18	21	1800	2700	16
18	21	2700	3600	24
18	21	3600	4500	20
18	21	4500	5400	16
18	21	5400	6300	28
18	21	6300	7200	20
18	21	7200	8100	0
18	21	8100	9000	8
18	21	9000	9900	20
18	21	9900	10800	28
18	25	0	900	4
18	25	900	1800	16
18	25	1800	2700	20
18	25	2700	3600	4
18	25	3600	4500	4
18	25	4500	5400	4
18	25	5400	6300	12
18	25	6300	7200	16
18	25	7200	8100	24
18	25	8100	9000	4
18	25	9000	9900	12
18	25	9900	10800	12
18	29	0	900	48
18	29	900	1800	112
18	29	1800	2700	104
18	29	2700	3600	132
18	29	3600	4500	148
18	29	4500	5400	136
18	29	5400	6300	60
18	29	6300	7200	68
18	29	7200	8100	80
18	29	8100	9000	64
18	29	9000	9900	64
18	29	9900	10800	60
18	37	0	900	28
18	37	900	1800	48
18	37	1800	2700	60
18	37	2700	3600	44
18	37	3600	4500	48
18	37	4500	5400	52
18	37	5400	6300	64
18	37	6300	7200	56
18	37	7200	8100	40
18	37	8100	9000	44
18	37	9000	9900	48
18	37	9900	10800	76
18	41	0	900	12
18	41	900	1800	12
18	41	1800	2700	24
18	41	2700	3600	16
18	41	3600	4500	12
18	41	4500	5400	28
18	41	5400	6300	40
18	41	6300	7200	12
18	41	7200	8100	12
18	41	8100	9000	32
18	41	9000	9900	60
18	41	9900	10800	40
18	43	0	900	16
18	43	900	1800	48
18	43	1800	2700	56
18	43	2700	3600	44
18	43	3600	4500	36
18	43	4500	5400	28
18	43	5400	6300	12
18	43	6300	7200	28
18	43	7200	8100	40
18	43	8100	9000	20
18	43	9000	9900	44
18	43	9900	10800	24
18	45	0	900	84
18	45	900	1800	144
18	45	1800	2700	140
18	45	2700	3600	124
18	45	3600	4500	100
18	45	4500	5400	100
18	45	5400	6300	116
18	45	6300	7200	72
18	45	7200	8100	36
18	45	8100	9000	44
18	45	9000	9900	56
18	45	9900	10800	60
18	47	0	900	12
18	47	900	1800	32
18	47	1800	2700	68
18	47	2700	3600	36
18	47	3600	4500	52
18	47	4500	5400	52
18	47	5400	6300	36
18	47	6300	7200	48
18	47	7200	8100	36
18	47	8100	9000	40
18	47	9000	9900	36
18	47	9900	10800	76
18	55	0	900	12
18	55	900	1800	48
18	55	1800	2700	48
18	55	2700	3600	36
18	55	3600	4500	48
18	55	4500	5400	48
18	55	5400	6300	60
18	55	6300	7200	44
18	55	7200	8100	36
18	55	8100	9000	32
18	55	9000	9900	20
18	55	9900	10800	24
18	62	0	900	28
18	62	900	1800	60
18	62	1800	2700	96
18	62	2700	3600	80
18	62	3600	4500	36
18	62	4500	5400	80
18	62	5400	6300	52
18	62	6300	7200	56
18	62	7200	8100	32
18	62	8100	9000	48
18	62	9000	9900	44
18	62	9900	10800	72
22	5	0	10800	0
22	13	0	10800	0
22	17	0	10800	0
22	21	0	10800	0
22	25	0	900	8
22	25	900	1800	0
22	25	1800	2700	8
22	25	2700	3600	8
22	25	3600	4500	4
22	25	4500	5400	40
22	25	5400	6300	40
22	25	6300	7200	84
22	25	7200	8100	68
22	25	8100	9000	36
22	25	9000	9900	52
22	25	9900	10800	76
22	29	0	900	116
22	29	900	1800	140
22	29	1800	2700	148
22	29	2700	3600	112
22	29	3600	4500	120
22	29	4500	5400	136
22	29	5400	6300	84
22	29	6300	7200	76
22	29	7200	8100	108
22	29	8100	9000	144
22	29	9000	9900	192
22	29	9900	10800	228
22	37	0	900	68
22	37	900	1800	88
22	37	1800	2700	64
22	37	2700	3600	80
22	37	3600	4500	80
22	37	4500	5400	104
22	37	5400	6300	104
22	37	6300	7200	60
22	37	7200	8100	48
22	37	8100	9000	88
22	37	9000	9900	140
22	37	9900	10800	124
22	41	0	900	32
22	41	900	1800	44
22	41	1800	2700	52
22	41	2700	3600	40
22	41	3600	4500	40
22	41	4500	5400	40
22	41	5400	6300	56
22	41	6300	7200	36
22	41	7200	8100	24
22	41	8100	9000	96
22	41	9000	9900	128
22	41	9900	10800	168
22	43	0	900	40
22	43	900	1800	56
22	43	1800	2700	40
22	43	2700	3600	16
22	43	3600	4500	32
22	43	4500	5400	20
22	43	5400	6300	44
22	43	6300	7200	36
22	43	7200	8100	28
22	43	8100	9000	56
22	43	9000	9900	84
22	43	9900	10800	108
22	45	0	900	252
22	45	900	1800	216
22	45	1800	2700	220
22	45	2700	3600	172
22	45	3600	4500	132
22	45	4500	5400	128
22	45	5400	6300	96
22	45	6300	7200	140
22	45	7200	8100	140
22	45	8100	9000	160
22	45	9000	9900	180
22	45	9900	10800	184
22	47	0	900	32
22	47	900	1800	44
22	47	1800	2700	40
22	47	2700	3600	64
22	47	3600	4500	60
22	47	4500	5400	48
22	47	5400	6300	52
22	47	6300	7200	44
22	47	7200	8100	64
22	47	8100	9000	112
22	47	9000	9900	136
22	47	9900	10800	100
22	55	0	900	52
22	55	900	1800	80
22	55	1800	2700	60
22	55	2700	3600	48
22	55	3600	4500	44
22	55	4500	5400	44
22	55	5400	6300	52
22	55	6300	7200	36
22	55	7200	8100	60
22	55	8100	9000	80
22	55	9000	9900	112
22	55	9900	10800	100
22	62	0	900	96
22	62	900	1800	128
22	62	1800	2700	80
22	62	2700	3600	128
22	62	3600	4500	120
22	62	4500	5400	100
22	62	5400	6300	100
22	62	6300	7200	68
22	62	7200	8100	116
22	62	8100	9000	116
22	62	9000	9900	192
22	62	9900	10800	172
26	5	0	10800	0
26	13	0	10800	0
26	17	0	10800	0
26	21	0	10800	0
26	25	0	10800	0
26	29	0	900	12
26	29	900	1800	60
26	29	1800	2700	140
26	29	2700	3600	160
26	29	3600	4500	148
26	29	4500	5400	100
26	29	5400	6300	92
26	29	6300	7200	160
26	29	7200	8100	188
26	29	8100	9000	312
26	29	9000	9900	280
26	29	9900	10800	316
26	37	0	900	44
26	37	900	1800	52
26	37	1800	2700	84
26	37	2700	3600	80
26	37	3600	4500	80
26	37	4500	5400	112
26	37	5400	6300	108
26	37	6300	7200	140
26	37	7200	8100	180
26	37	8100	9000	204
26	37	9000	9900	188
26	37	9900	10800	220
26	41	0	900	28
26	41	900	1800	8
26	41	1800	2700	8
26	41	2700	3600	12
26	41	3600	4500	20
26	41	4500	5400	20
26	41	5400	6300	44
26	41	6300	7200	48
26	41	7200	8100	48
26	41	8100	9000	124
26	41	9000	9900	128
26	41	9900	10800	88
26	43	0	900	12
26	43	900	1800	20
26	43	1800	2700	12
26	43	2700	3600	52
26	43	3600	4500	32
26	43	4500	5400	36
26	43	5400	6300	40
26	43	6300	7200	48
26	43	7200	8100	56
26	43	8100	9000	60
26	43	9000	9900	92
26	43	9900	10800	84
26	45	0	900	200
26	45	900	1800	256
26	45	1800	2700	252
26	45	2700	3600	240
26	45	3600	4500	188
26	45	4500	5400	204
26	45	5400	6300	224
26	45	6300	7200	168
26	45	7200	8100	252
26	45	8100	9000	260
26	45	9000	9900	224
26	45	9900	10800	264
26	47	0	900	44
26	47	900	1800	80
26	47	1800	2700	88
26	47	2700	3600	60
26	47	3600	4500	72
26	47	4500	5400	120
26	47	5400	6300	112
26	47	6300	7200	136
26	47	7200	8100	160
26	47	8100	9000	148
26	47	9000	9900	132
26	47	9900	10800	124
26	55	0	900	48
26	55	900	1800	104
26	55	1800	2700	120
26	55	2700	3600	120
26	55	3600	4500	104
26	55	4500	5400	100
26	55	5400	6300	68
26	55	6300	7200	92
26	55	7200	8100	132
26	55	8100	9000	176
26	55	9000	9900	124
26	55	9900	10800	92
26	62	0	900	68
26	62	900	1800	216
26	62	1800	2700	232
26	62	2700	3600	188
26	62	3600	4500	120
26	62	4500	5400	172
26	62	5400	6300	264
26	62	6300	7200	244
26	62	7200	8100	260
26	62	8100	9000	332
26	62	9000	9900	356
26	62	9900	10800	232
30	5	0	10800	0
30	13	0	10800	0
30	17	0	10800	0
30	21	0	10800	0
30	25	0	10800	0
30	29	0	10800	0
30	37	0	900	56
30	37	900	1800	80
30	37	1800	2700	56
30	37	2700	3600	76
30	37	3600	4500	92
30	37	4500	5400	72
30	37	5400	6300	108
30	37	6300	7200	80
30	37	7200	8100	64
30	37	8100	9000	80
30	37	9000	9900	92
30	37	9900	10800	92
30	41	0	900	44
30	41	900	1800	32
30	41	1800	2700	32
30	41	2700	3600	28
30	41	3600	4500	28
30	41	4500	5400	44
30	41	5400	6300	32
30	41	6300	7200	60
30	41	7200	8100	64
30	41	8100	9000	48
30	41	9000	9900	56
30	41	9900	10800	60
30	43	0	900	8
30	43	900	1800	20
30	43	1800	2700	12
30	43	2700	3600	16
30	43	3600	4500	32
30	43	4500	5400	52
30	43	5400	6300	52
30	43	6300	7200	48
30	43	7200	8100	44
30	43	8100	9000	28
30	43	9000	9900	56
30	43	9900	10800	48
30	45	0	900	132
30	45	900	1800	208
30	45	1800	2700	196
30	45	2700	3600	220
30	45	3600	4500	216
30	45	4500	5400	256
30	45	5400	6300	172
30	45	6300	7200	200
30	45	7200	8100	284
30	45	8100	9000	352
30	45	9000	9900	356
30	45	9900	10800	296
30	47	0	900	52
30	47	900	1800	68
30	47	1800	2700	76
30	47	2700	3600	96
30	47	3600	4500	116
30	47	4500	5400	144
30	47	5400	6300	144
30	47	6300	7200	188
30	47	7200	8100	180
30	47	8100	9000	172
30	47	9000	9900	132
30	47	9900	10800	136
30	55	0	900	52
30	55	900	1800	72
30	55	1800	2700	116
30	55	2700	3600	76
30	55	3600	4500	96
30	55	4500	5400	108
30	55	5400	6300	104
30	55	6300	7200	140
30	55	7200	8100	144
30	55	8100	9000	136
30	55	9000	9900	156
30	55	9900	10800	184
30	62	0	900	136
30	62	900	1800	212
30	62	1800	2700	224
30	62	2700	3600	272
30	62	3600	4500	236
30	62	4500	5400	292
30	62	5400	6300	336
30	62	6300	7200	232
30	62	7200	8100	172
30	62	8100	9000	216
30	62	9000	9900	256
30	62	9900	10800	228
38	5	0	10800	0
38	13	0	10800	0
38	17	0	10800	0
38	21	0	10800	0
38	25	0	10800	0
38	29	0	10800	0
38	37	0	10800	0
38	41	0	900	16
38	41	900	1800	4
38	41	1800	2700	32
38	41	2700	3600	16
38	41	3600	4500	28
38	41	4500	5400	44
38	41	5400	6300	116
38	41	6300	7200	180
38	41	7200	8100	100
38	41	8100	9000	148
38	41	9000	9900	160
38	41	9900	10800	240
38	43	0	900	16
38	43	900	1800	8
38	43	1800	2700	4
38	43	2700	3600	8
38	43	3600	4500	52
38	43	4500	5400	40
38	43	5400	6300	48
38	43	6300	7200	28
38	43	7200	8100	36
38	43	8100	9000	32
38	43	9000	9900	68
38	43	9900	10800	76
38	45	0	900	328
38	45	900	1800	320
38	45	1800	2700	332
38	45	2700	3600	288
38	45	3600	4500	308
38	45	4500	5400	468
38	45	5400	6300	396
38	45	6300	7200	404
38	45	7200	8100	360
38	45	8100	9000	436
38	45	9000	9900	556
38	45	9900	10800	628
38	47	0	900	60
38	47	900	1800	84
38	47	1800	2700	148
38	47	2700	3600	124
38	47	3600	4500	172
38	47	4500	5400	188
38	47	5400	6300	208
38	47	6300	7200	196
38	47	7200	8100	156
38	47	8100	9000	156
38	47	9000	9900	196
38	47	9900	10800	228
38	55	0	900	108
38	55	900	1800	180
38	55	1800	2700	152
38	55	2700	3600	176
38	55	3600	4500	164
38	55	4500	5400	100
38	55	5400	6300	144
38	55	6300	7200	176
38	55	7200	8100	248
38	55	8100	9000	172
38	55	9000	9900	208
38	55	9900	10800	180
38	62	0	900	444
38	62	900	1800	576
38	62	1800	2700	492
38	62	2700	3600	524
38	62	3600	4500	384
38	62	4500	5400	392
38	62	5400	6300	480
38	62	6300	7200	436
38	62	7200	8100	396
38	62	8100	9000	364
38	62	9000	9900	372
38	62	9900	10800	336
48	5	0	10800	0
48	13	0	10800	0
48	17	0	10800	0
48	21	0	10800	0
48	25	0	10800	0
48	29	0	10800	0
48	37	0	10800	0
48	41	0	10800	0
48	43	0	10800	0
48	45	0	10800	0
48	47	0	10800	0
48	55	0	900	136
48	55	900	1800	252
48	55	1800	2700	400
48	55	2700	3600	460
48	55	3600	4500	512
48	55	4500	5400	356
48	55	5400	6300	344
48	55	6300	7200	424
48	55	7200	8100	388
48	55	8100	9000	332
48	55	9000	9900	404
48	55	9900	10800	468
48	62	0	900	464
48	62	900	1800	496
48	62	1800	2700	592
48	62	2700	3600	748
48	62	3600	4500	740
48	62	4500	5400	600
48	62	5400	6300	684
48	62	6300	7200	744
48	62	7200	8100	688
48	62	8100	9000	716
48	62	9000	9900	716
48	62	9900	10800	652
50	5	0	10800	0
50	13	0	10800	0
50	17	0	10800	0
50	21	0	10800	0
50	25	0	10800	0
50	29	0	10800	0
50	37	0	10800	0
50	41	0	10800	0
50	43	0	10800	0
50	45	0	10800	0
50	47	0	10800	0
50	55	0	900	172
50	55	900	1800	276
50	55	1800	2700	384
50	55	2700	3600	280
50	55	3600	4500	164
50	55	4500	5400	176
50	55	5400	6300	312
50	55	6300	7200	272
50	55	7200	8100	256
50	55	8100	9000	308
50	55	9000	9900	316
50	55	9900	10800	380
50	62	0	900	936
50	62	900	1800	1492
50	62	1800	2700	1336
50	62	2700	3600	1136
50	62	3600	4500	660
50	62	4500	5400	800
50	62	5400	6300	780
50	62	6300	7200	808
50	62	7200	8100	828
50	62	8100	9000	660
50	62	9000	9900	696
50	62	9900	10800	960
52	5	0	10800	0
52	13	0	10800	0
52	17	0	10800	0
52	21	0	10800	0
52	25	0	10800	0
52	29	0	10800	0
52	37	0	10800	0
52	41	0	10800	0
52	43	0	10800	0
52	45	0	10800	0
52	47	0	10800	0
52	55	0	900	52
52	55	900	1800	108
52	55	1800	2700	96
52	55	2700	3600	156
52	55	3600	4500	240
52	55	4500	5400	352
52	55	5400	6300	352
52	55	6300	7200	292
52	55	7200	8100	448
52	55	8100	9000	432
52	55	9000	9900	340
52	55	9900	10800	416
52	62	0	900	628
52	62	900	1800	788
52	62	1800	2700	700
52	62	2700	3600	1028
52	62	3600	4500	1436
52	62	4500	5400	1308
52	62	5400	6300	1336
52	62	6300	7200	1344
52	62	7200	8100	1332
